iraq	abbasid	abbasid
tallest	tallest	tallest
tastiest	!	!
warmest	wettest	drought
weakest	prefrontal	prefrontal
weirdest	x-files	x-files
widest	range	range
youngest	granddaughter	granddaughter
worst	good	punish
biggest	pac-10	pac-10
brightest	presents	presents
coldest	temperatures	temperatures
coolest	diurnal	diurnal
darkest	suffused	suffused
easiest	nil	nil
fastest	x-files	x-files
best	unjust	unjust
greatest	knigsberg	knigsberg
highest	tallest	tallest
longest	longest	longest
lowest	biggest	highest
luckiest	biggest	highest-rated
oldest	oldest	oldest
quickest	biggest	highest-rated
sharpest	biggest	bain
simplest	simplify	simplify
shortest	longest	longest
slowest	slowest	slowest
smallest	biggest	biggest
smartest	biggest	nation
strangest	biggest	biggest
strongest	biggest	highest-rated
sweetest	biggest	cassava
tallest	tallest	tallest
tastiest	!	!
warmest	wettest	wettest
weakest	tier	tier
weirdest	best-selling	best-selling
widest	biggest	best-selling
youngest	oldest	best-selling
worst	biggest	biggest
biggest	biggest	biggest
brightest	biggest	best-selling
coldest	biggest	best-selling
coolest	biggest	biggest
darkest	ochreous	best-selling
easiest	biggest	billboard
fastest	biggest	highest-rated
best	excellent	best-selling
greatest	biggest	biggest
highest	highest	highest
hottest	billboard	billboard
lowest	second-highest	second-highest
luckiest	heartbreak	deb
oldest	oldest	oldest
quickest	03	03
sharpest	first	calgary
simplest	simplest	simplest
shortest	first	first
slowest	fast	frantic
smallest	medium-sized	medium-sized
smartest	fastest	fastest
strangest	astral	astral
strongest	tremendous	tremendous
sweetest	joyful	boogie
tallest	tallest	tallest
tastiest	!	!
warmest	cool	winds
weakest	strong	strong
weirdest	bug	bug
widest	spanning	spanning
youngest	singing	singing
worst	skid	sean
biggest	biggest	biggest
brightest	amg	amg
coldest	temperatures	temperatures
coolest	warm	hottest
darkest	forewings	forewings
easiest	simplest	simplest
fastest	fastest	fastest
best	excellent	excellent
greatest	stan	stan
highest	highest	cheerleading
hottest	chart	number-one
largest	largest	largest
luckiest	234	234
oldest	widowed	widowed
quickest	5.2	5.2
sharpest	8	8
simplest	finer	finer
shortest	warmest	warmest
slowest	239	239
smallest	fewer	fewer
smartest	subscriber	racism
strangest	astrological	astrological
strongest	outspoken	racism
sweetest	flavour	flavour
tallest	feet	feet
tastiest	!	!
warmest	warmest	warmest
weakest	fewer	fewer
weirdest	warmest	warmest
widest	spanning	spanning
youngest	teenage	teenage
worst	warmest	see
biggest	all-big	all-big
brightest	moonlight	represent
coldest	warmest	warmest
coolest	warmest	warmest
darkest	ochreous	ochreous
easiest	'll	'll
fastest	analyze	8
best	excellent	excellent
greatest	krai	krai
highest	highest	highest
hottest	charting	charting
largest	larger	fixed
longest	see	see
oldest	!	!
quickest	!	!
sharpest	!	!
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
smartest	!	!
strangest	!	!
strongest	!	!
sweetest	!	!
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
weirdest	!	!
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
quickest	deterioration	deterioration
sharpest	largest	largest
simplest	simplest	simplest
shortest	largest	largest
slowest	slower	slower
smallest	largest	largest
smartest	nathaniel	nathaniel
strangest	prehistory	darryl
strongest	strongest	strongest
sweetest	reprised	reprised
tallest	tallest	tallest
tastiest	!	!
warmest	wettest	wettest
weakest	strong	caledonia
weirdest	largest	largest
widest	largest	hands-on
youngest	granddaughter	granddaughter
worst	longest-running	proponent
biggest	largest	largest
brightest	largest	zebra
coldest	nathaniel	nathaniel
coolest	hottest	hottest
darkest	largest	largest
easiest	largest	smallest
fastest	largest	ibis
best	excellent	excellent
greatest	largest	largest
highest	highest	highest
hottest	chart	chart
largest	largest	largest
longest	longest	longest
lowest	highest	highest
luckiest	nathaniel	nathaniel
sharpest	ovate	ovate
simplest	euclidean	euclidean
shortest	uneventful	uneventful
slowest	methodology	regulates
smallest	hollow	hollow
smartest	grid	grid
strangest	tangled	tangled
strongest	weak	implies
sweetest	flavour	flavour
tallest	ovate	tallest
tastiest	!	!
warmest	cooler	cooler
weakest	grid	grid
weirdest	20s	20s
widest	ovate	ovate
youngest	20s	20s
worst	saxony-anhalt	mannheim
biggest	nbl	nbl
brightest	ovate	ovate
coldest	temperatures	temperatures
coolest	coldest	coldest
darkest	suffused	suffused
easiest	novices	novices
fastest	fourth-place	self-propelled
best	excellent	excellent
greatest	westbrook	westbrook
highest	tallest	majored
hottest	peaking	peaking
largest	dispersed	dispersed
longest	raceway	raceway
lowest	coldest	coldest
luckiest	career-high	career-high
oldest	suzhou	suzhou
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
smartest	!	!
strangest	!	!
strongest	!	!
sweetest	!	!
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
weirdest	!	!
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
luckiest	!	!
oldest	!	!
quickest	!	!
shortest	longest	longest
slowest	mechanism	mechanism
smallest	smallest	smallest
smartest	packages	packages
strangest	bucky	bucky
strongest	weak	weak
sweetest	almonds	almonds
tallest	tallest	tallest
tastiest	!	!
warmest	algae	algae
weakest	occurs	alarmed
weirdest	yankovic	yankovic
widest	stratigraphic	stratigraphic
youngest	youngest	youngest
worst	flu	flu
biggest	pac-12	pac-12
brightest	coloration	coloration
coldest	temperatures	temperatures
coolest	temperature	temperature
darkest	fuscous	fuscous
easiest	smallest	smallest
fastest	faster	faster
best	adequate	adequate
greatest	latitudes	latitudes
highest	tallest	tallest
hottest	chart	peaking
largest	smallest	smallest
longest	longest	longest
lowest	high	high
luckiest	199697	199697
oldest	now	now
quickest	oxidation	amarillo
sharpest	rockies	rockies
slowest	explode	explode
smallest	smallest	smallest
smartest	subscriber	subscriber
strangest	joyful	joyful
strongest	strongest	strongest
sweetest	joyful	joyful
tallest	15.8	15.8
tastiest	!	!
warmest	endpoint	endpoint
weakest	weaker	weaker
weirdest	daft	daft
widest	one-half	one-half
youngest	inspire	inspire
worst	wrong	wrong
biggest	huskies	huskies
brightest	nunavut	nunavut
coldest	temperatures	temperatures
coolest	explode	explode
darkest	hindwing	hindwing
easiest	desirable	desirable
fastest	integer	integer
best	enjoy	enjoy
greatest	measurable	measurable
highest	waverly	waverly
hottest	chart	chart
largest	one-half	one-half
longest	one-half	one-half
lowest	optimize	optimize
luckiest	explode	99
oldest	fencers	fencers
quickest	explode	explode
sharpest	explode	explode
simplest	isomorphism	endpoint
smallest	appendages	appendages
smartest	grid	grid
strangest	monologues	monologues
strongest	strongest	branding
sweetest	squash	squash
tallest	feet	feet
tastiest	!	!
warmest	wettest	wettest
weakest	grid	grid
weirdest	yankovic	celine
widest	30cm	30cm
youngest	youngest	youngest
worst	pac-10	pac-10
biggest	pac-10	pac-10
brightest	costal	costal
coldest	temperatures	wettest
coolest	wettest	wettest
darkest	suffused	suffused
easiest	hippo	hippo
fastest	hkkinen	hkkinen
best	excellent	excellent
greatest	ephesus	ephesus
highest	pre-kindergarten	pre-kindergarten
hottest	chart	chart
largest	largest	largest
longest	shortest	shortest
lowest	driest	possess
luckiest	housemate	housemate
oldest	oldest	oldest
quickest	pistol	pistol
sharpest	costal	costal
simplest	invariant	invariant
shortest	garnett	garnett
smartest	prep	prep
strangest	whether	whether
strongest	strongest	strongest
sweetest	gotta	catfish
tallest	680	680
tastiest	!	!
warmest	cool	cool
weakest	simplest	simplest
weirdest	spoof	spoof
widest	width	tensor
youngest	youngest	youngest
worst	differentiable	penalized
biggest	breakout	breakout
brightest	brightest	brightest
coldest	cool	cool
coolest	hottest	hottest
darkest	bluish	bluish
easiest	simplest	simplest
fastest	faster	faster
best	perfect	perfect
greatest	britain	hegel
highest	prep	prep
hottest	airplay	airplay
largest	largest	largest
longest	shortest	shortest
lowest	breakout	breakout
luckiest	wager	wager
oldest	now	now
quickest	stamina	wager
sharpest	hoyt	hoyt
simplest	simplest	simplest
shortest	distances	distances
slowest	slower	slower
strangest	!	!
strongest	!	!
sweetest	!	!
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
weirdest	!	!
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
luckiest	!	!
oldest	!	!
quickest	!	!
sharpest	!	!
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
strongest	!	!
sweetest	!	!
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
weirdest	!	!
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
luckiest	!	!
oldest	!	!
quickest	!	!
sharpest	!	!
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
smartest	!	!
sweetest	sugar	sugar
tallest	shortest	shortest
tastiest	!	!
warmest	cool	cool
weakest	weakened	weakened
weirdest	anthologies	anthologies
widest	spanning	trojans
youngest	wives	wives
worst	worst	worst
biggest	biggest	biggest
brightest	greenish	greenish
coldest	temperatures	temperatures
coolest	warm	warm
darkest	greyish	greyish
easiest	only	only
fastest	hkkinen	hkkinen
best	excellent	parton
greatest	iranians	iranians
highest	schools	trojans
hottest	peaking	peaking
largest	small	small
longest	shortest	shortest
lowest	high	high
luckiest	knowles	trojans
oldest	oldest	oldest
quickest	emergencies	emergencies
sharpest	misfortune	misfortune
simplest	simpler	simpler
shortest	anthologies	anthologies
slowest	only	only
smallest	smallest	smallest
smartest	subscriber	fs
strangest	spider-man	spider-man
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
weirdest	!	!
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
luckiest	!	!
oldest	!	!
quickest	!	!
sharpest	!	!
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
smartest	!	!
strangest	!	!
strongest	!	!
tastiest	!	!
warmest	cool	cool
weakest	extratropical	extratropical
weirdest	hottest	deseret
widest	widest	widest
youngest	granddaughter	21st
worst	what	what
biggest	biggest	biggest
brightest	xenon	xenon
coldest	temperatures	temperatures
coolest	hottest	hottest
darkest	discal	shining
easiest	simplest	simplest
fastest	fastest	fastest
best	excellent	excellent
greatest	alban	alban
highest	highest	highest
hottest	number-one	number-one
largest	significant	significant
longest	formation	formation
lowest	highest	highest
luckiest	number-one	number-one
oldest	historic	ruined
quickest	overtook	overtook
sharpest	deforestation	deforestation
simplest	simplest	simplest
shortest	self-produced	self-produced
slowest	slower	slower
smallest	located	second-largest
smartest	ibiza	fax
strangest	behold	behold
strongest	undisputed	undisputed
sweetest	number-one	number-one
warmest	cool	cool
weakest	strong	strong
weirdest	yankovic	yankovic
widest	width	width
youngest	aspiring	aspiring
worst	good	good
biggest	dad	dad
brightest	blotches	blotches
coldest	temperatures	temperatures
coolest	warm	warm
darkest	ochreous	ochreous
easiest	simple	simple
fastest	slow	slow
best	excellent	excellent
greatest	britain	britain
highest	low	low
hottest	chart	chart
largest	small	small
longest	short	short
lowest	high	high
luckiest	knowles	knowles
oldest	mediaeval	mediaeval
quickest	bowler	bowler
sharpest	crook	crook
simplest	simpler	simpler
shortest	long	long
slowest	fast	fast
smallest	large	large
smartest	gadgets	gadgets
strangest	paranormal	paranormal
strongest	weak	weak
sweetest	almonds	almonds
tallest	feet	feet
weakest	hindwings	autonomic
weirdest	yankovic	yankovic
widest	hindwings	fumbles
youngest	dion	dion
worst	wien	wien
biggest	!	!
brightest	hindwing	hindwing
coldest	coldest	coldest
coolest	coldest	diurnal
darkest	ochreous	ochreous
easiest	integrals	integrals
fastest	likud	likud
best	bad	bien
greatest	jeju	jeju
highest	highest	highest
hottest	charting	charting
largest	larger	fixed
longest	likud	likud
lowest	lowest	lowest
luckiest	sandro	sandro
oldest	28.3	28.3
quickest	coincided	coincided
sharpest	likud	likud
simplest	integrals	integrals
shortest	verne	verne
slowest	rate	rate
smallest	westernmost	westernmost
smartest	proposes	proposes
strangest	jean-luc	jean-luc
strongest	democrats	democrats
sweetest	hindwings	hindwings
tallest	28.3	28.3
tastiest	!	!
weirdest	hottest	hottest
widest	spanning	spanning
youngest	adolescents	adolescents
worst	sunset	sunset
biggest	number-one	sunset
brightest	hottest	hottest
coldest	hottest	hottest
coolest	hottest	hottest
darkest	suffused	masquerade
easiest	billboard	00p.m.
fastest	hottest	hottest
best	best-selling	best-selling
greatest	britain	britain
highest	hottest	hottest
hottest	billboard	billboard
largest	largest	largest
longest	sunset	sunset
lowest	rarity	rarity
luckiest	mojo	mojo
oldest	sunset	sunset
quickest	pup	pup
sharpest	hottest	sunset
simplest	implementations	implementations
shortest	best-selling	best-selling
slowest	slower	slower
smallest	largest	largest
smartest	talking	talking
strangest	talking	talking
strongest	make-up	make-up
sweetest	mojo	mojo
tallest	feet	feet
tastiest	!	!
warmest	cool	cool
widest	!	!
youngest	!	!
worst	!	!
biggest	!	!
brightest	!	!
coldest	!	!
coolest	!	!
darkest	!	!
easiest	!	!
fastest	!	!
best	!	!
greatest	!	!
highest	!	!
hottest	!	!
largest	!	!
longest	!	!
lowest	!	!
luckiest	!	!
oldest	!	!
quickest	!	!
sharpest	!	!
simplest	!	!
shortest	!	!
slowest	!	!
smallest	!	!
smartest	!	!
strangest	!	!
strongest	!	!
sweetest	!	!
tallest	!	!
tastiest	!	!
warmest	!	!
weakest	!	!
youngest	eldest	eldest
worst	neustadt	neustadt
biggest	glorious	glorious
brightest	dorsum	dorsum
coldest	temperatures	temperatures
coolest	moist	moist
darkest	dorsum	dorsum
easiest	difficult	difficult
fastest	faster	faster
best	excellent	excellent
greatest	owls	crusades
highest	saddle	saddle
hottest	oricon	tally
largest	larger	larger
longest	length	length
lowest	moist	moist
luckiest	housemate	dear
oldest	mediaeval	mediaeval
quickest	bowler	estado
sharpest	stevenage	stevenage
simplest	complexity	complexity
shortest	conditioned	conditioned
slowest	faster	faster
smallest	smaller	smaller
smartest	telephony	telephony
strangest	saddle	saddle
strongest	strongest	cooperated
sweetest	almonds	dear
tallest	tallest	tallest
tastiest	!	!
warmest	moist	moist
weakest	deficiencies	nevertheless
weirdest	diaries	diaries
worst	par	par
biggest	biggest	biggest
brightest	indistinct	indistinct
coldest	temperatures	temperatures
coolest	temperature	kppen
darkest	fuscous	fuscous
easiest	no.1	no.1
fastest	speed	par
best	perfect	perfect
greatest	obliged	obliged
highest	highest	highest
hottest	chart	chart
largest	vast	vast
longest	par	par
lowest	par	par
luckiest	par	par
oldest	oldest	oldest
quickest	bowler	maneuver
sharpest	par	par
simplest	simplest	simplest
shortest	par	par
slowest	slower	slower
smallest	vast	vast
smartest	yacht	05
strangest	sightings	sightings
strongest	strongest	strongest
sweetest	vanilla	vanilla
tallest	tallest	tallest
tastiest	!	!
warmest	kppen	kppen
weakest	weaker	weaker
weirdest	scary	par
widest	centimetres	centimetres
dancing	gorgeous	gorgeous
debugging	!	!
decreasing	pituitary	pituitary
describing	denote	denote
discovering	comprehension	comprehension
